"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"HLA-C",5.0225424145105e-55,0.714340026711585,0.973,0.927,8.80049881870529e-51
"SPCS2",4.11242329721632e-42,0.453774073695418,0.775,0.519,7.20578810138244e-38
"HSP90AA1",1.46443727072767e-41,0.595633925749912,0.993,0.969,2.56598698576902e-37
"MT-CO3",3.38482031541448e-41,0.45858580504687,0.995,0.999,5.93088215666925e-37
"HLA-A",4.56436014736429e-41,0.723482953817546,0.98,0.974,7.99767185021171e-37
"MT-ND1",1.4629748934048e-40,0.474315402622269,0.991,0.997,2.5634246082239e-36
"MT-ND5",4.9530441236705e-40,0.39480259627412,0.991,0.972,8.67872391349545e-36
"DNAJA1",3.84775143377564e-39,0.445173471024941,0.867,0.644,6.74203006226167e-35
"STAT1",1.0029808360877e-38,0.637785858235001,0.523,0.202,1.75742302099286e-34
"TUBA1B",2.84631418092119e-38,0.490587368330672,0.723,0.43,4.98731170781012e-34
"ACTB",3.62578733553948e-37,0.464309847655762,0.998,0.974,6.35310456933227e-33
"B2M",8.19497132967272e-34,0.584769902314622,1,1,1.43592287638525e-29
"PSMB9",9.19474138373579e-33,0.485832081407033,0.455,0.168,1.61110258525819e-28
"MT-ND2",2.74595818422985e-32,0.420553407759366,0.989,0.999,4.81146793040754e-28
"JUNB",1.97583160339004e-31,0.708718665860137,0.887,0.743,3.46205213546003e-27
"HNRNPA2B1",2.70594945885835e-30,0.344804439081458,0.939,0.852,4.74136464181161e-26
"GBP1",1.89611474036513e-29,0.461578854849898,0.363,0.104,3.32237224806778e-25
"HLA-E",1.56616660931294e-28,0.479533969038916,0.872,0.743,2.74423713283813e-24
"IFI6",1.46173326146812e-27,0.560178160138383,0.538,0.273,2.56124902074445e-23
"MT-ATP6",4.5232044503833e-27,0.353547934785265,0.998,0.999,7.92555883796162e-23
"IRF1",9.4535363557318e-27,0.472574475135077,0.536,0.263,1.65644864025133e-22
"PGRMC1",1.79183971796552e-25,0.372463674790927,0.689,0.474,3.13966155381918e-21
"DDX5",2.90133301745342e-25,0.314549052777644,0.975,0.95,5.08371571318187e-21
"DUSP1",8.73359544561573e-25,0.522925132539825,0.764,0.543,1.53030059398079e-20
"HLA-B",1.16482475967255e-24,0.630006487617919,0.957,0.98,2.04100594389823e-20
"HNRNPA3",2.56744340032493e-24,0.313406754712951,0.786,0.619,4.49867432604934e-20
"CD74",6.62298892236679e-24,0.36940680878514,0.385,0.135,1.16048011897711e-19
"GSN",2.32449440373129e-23,0.485576137459708,0.752,0.615,4.07297909421797e-19
"EGR1",6.27447942462737e-23,0.564019121500982,0.779,0.613,1.09941428478321e-18
"SRSF5",7.34963963626316e-23,0.3055115986989,0.646,0.387,1.28780385706603e-18
"APOL6",1.51347475685618e-22,0.322600269039145,0.423,0.182,2.65191046896339e-18
"MT-ND4",1.63860575365912e-22,0.2876021896608,0.998,0.999,2.87116500156151e-18
"HNRNPR",2.36287590698842e-22,0.302203779786398,0.662,0.422,4.14023116422512e-18
"JUND",4.69214909274226e-22,0.407273935503539,0.95,0.898,8.22158364030299e-18
"CCL5",2.35570553196364e-21,0.456128320007754,0.236,0.052,4.12766723310668e-17
"IL32",6.4659750002286e-21,0.429515552648247,0.565,0.329,1.13296813954006e-16
"HSPE1",9.84908381894974e-21,0.347905660902461,0.745,0.544,1.72575646675637e-16
"HNRNPH1",2.90003725294964e-20,0.327995284286629,0.529,0.294,5.08144527461836e-16
"ESR1",5.66643597024113e-20,0.392757255252057,0.545,0.333,9.9287291070565e-16
"HLA-F",6.2889413595415e-20,0.293143798111112,0.36,0.145,1.10194830501886e-15
"CYP1B1",1.41531373223386e-19,0.343536700272806,0.32,0.118,2.47991272162017e-15
"HSPH1",1.53482539215668e-19,0.464775125512505,0.486,0.271,2.68932105213694e-15
"CXCL9",1.59176476204975e-19,0.754355466094904,0.119,0.005,2.78909021606357e-15
"FOSB",1.67965169656077e-19,0.493603295721317,0.849,0.672,2.94308570271379e-15
"EPSTI1",3.6165866376299e-19,0.282823211222428,0.358,0.144,6.33698310645511e-15
"FUS",1.33102297574253e-18,0.301482799221641,0.709,0.506,2.33221845809606e-14
"HSPA5",2.4662627736148e-18,0.383663530640661,0.691,0.535,4.32138563192785e-14
"DNAJB1",7.72841354169509e-18,0.528537627769308,0.669,0.481,1.35417262077581e-13
"WARS1",1.47699992444739e-17,0.255337439556086,0.268,0.089,2.58799926761672e-13
"MCL1",1.52555854076897e-17,0.377409396499856,0.682,0.512,2.67308367513539e-13
"DDX3X",3.52257744095432e-17,0.296934102620826,0.694,0.495,6.17226019204016e-13
"DPEP1",1.14302074944599e-16,0.322880591246621,0.203,0.052,2.00280095717927e-12
"SF1",1.31814236424222e-16,0.260158740975452,0.565,0.354,2.30964905062521e-12
"BTG2",1.69443509041663e-16,0.433041991791971,0.525,0.308,2.96898916542802e-12
"NREP",2.52388925332315e-16,0.295369886382966,0.444,0.228,4.42235874967283e-12
"TPBG",2.63881990058055e-16,0.315578664182647,0.563,0.376,4.62374022979724e-12
"TUBA1A",2.73613315475495e-16,0.490491995140288,0.766,0.67,4.79425251376162e-12
"TNFSF10",6.35445906798489e-16,0.300553406679315,0.378,0.181,1.11342831789231e-11
"RBM25",1.396063600054e-15,0.260158740975452,0.541,0.35,2.44618264001462e-11
"CALR",1.75922384669392e-15,0.291138928472072,0.84,0.755,3.08251202417708e-11
"GBP4",2.45450591042344e-15,0.277335600945651,0.277,0.106,4.30078525624395e-11
"CXCL11",3.66934571134815e-15,0.343525808667874,0.079,0,6.42942755542424e-11
"ISG15",5.20991651205814e-15,0.542289266936128,0.5,0.315,9.12881571242828e-11
"ARF4",5.86974286164496e-15,0.278424355095912,0.646,0.497,1.02849634421743e-10
"HSPA8",6.99916538879702e-15,0.308688182942911,0.876,0.781,1.22639375942501e-10
"HNRNPU",1.03697418375127e-14,0.312788921347675,0.748,0.62,1.81698616476897e-10
"PSME2",2.18590538883383e-14,0.408033249573474,0.502,0.345,3.83014342231464e-10
"PARP14",2.97914989019216e-14,0.294417736783883,0.459,0.273,5.2200664375947e-10
"SFPQ",4.8958997562371e-14,0.264728455031602,0.608,0.453,8.57859555287865e-10
"MYL12A",5.30554931407436e-14,0.283710982619912,0.829,0.685,9.29638350812109e-10
"MDK",5.69790237097834e-14,0.419047702442626,0.669,0.579,9.98386453442826e-10
"B4GALT1",1.05014505584239e-13,0.254793605978895,0.399,0.216,1.84006416684703e-09
"TUBB",1.25158681782861e-13,0.274482197403135,0.68,0.577,2.19303042219928e-09
"PDIA3",1.68874738077992e-13,0.256008039064943,0.777,0.695,2.95902316060257e-09
"ALCAM",4.67996144664325e-13,0.31189640549469,0.25,0.101,8.2002284468083e-09
"IFI27",6.78230369000904e-13,0.463934385686934,0.556,0.388,1.18839525256338e-08
"ZFP36",7.46506659021088e-13,0.398199300766324,0.66,0.482,1.30802896793675e-08
"GBP2",1.12084021778771e-12,0.2762483280431,0.331,0.166,1.96393622960763e-08
"ABI3BP",2.10934673972006e-12,0.501406492261754,0.309,0.151,3.69599735733748e-08
"BST2",5.70526031384987e-12,0.47329260389207,0.745,0.68,9.99675712192775e-08
"NFKBIA",8.24020383510878e-12,0.277299768988281,0.577,0.402,1.44384851598776e-07
"TRPS1",1.38518561309542e-11,0.256012014188619,0.462,0.295,2.42712223126579e-07
"VCAN",1.47548956571226e-11,0.451706202248749,0.757,0.675,2.58535281704103e-07
"CADPS",2.20641898991392e-11,0.282496326195771,0.293,0.147,3.86608735412717e-07
"PTN",4.40161561738842e-11,0.252836064528763,0.405,0.225,7.71251088478799e-07
"IGF1",4.43847052137098e-11,1.057974253309,0.563,0.539,7.77708804754624e-07
"PGF",4.9551741811167e-11,0.315553937719148,0.297,0.151,8.68245620015267e-07
"FOS",1.49582636002022e-10,0.330824196669395,0.919,0.862,2.62098694802742e-06
"CCNL1",3.07098652168699e-10,0.322003778027425,0.628,0.497,5.38098258329995e-06
"C3",3.40896410667879e-10,0.429745358463345,0.367,0.216,5.97318690772258e-06
"IFITM1",5.07818843462682e-10,0.377150606325909,0.703,0.701,8.89800177515312e-06
"JUN",5.40874968542158e-10,0.356759458195427,0.912,0.832,9.4772111987957e-06
"MXRA5",6.27195652656226e-10,0.256324075977391,0.57,0.41,1.09897222258424e-05
"MAFB",8.74750567944313e-10,0.292420537559605,0.284,0.152,1.53273794515202e-05
"IER2",1.55712051878912e-09,0.422667632133941,0.797,0.706,2.72838657302229e-05
"DPT",2.58977367460169e-09,0.300553406679315,0.322,0.186,4.53780143263708e-05
"S100A6",2.59233175569991e-09,0.295481100114037,0.995,0.987,4.54228370233739e-05
"HSPA1A",2.86304535789133e-09,0.558847158089199,0.793,0.746,5.01662807609718e-05
"FN1",1.38952142736674e-08,1.01743511674652,0.556,0.495,0.0002434719445032
"HSPA1B",2.40249175729722e-08,0.381044465612282,0.61,0.518,0.000420964605713618
"CXCL10",7.687582524637e-08,0.378991229411629,0.05,0.004,0.0013470182099669
"PRSS23",9.59174365588605e-08,0.373304115268259,0.707,0.663,0.00168066532338435
"NR4A1",1.05791714234565e-07,0.304866897205882,0.405,0.277,0.00185368241681804
"CTHRC1",1.7574069270002e-07,0.793463332685028,0.399,0.304,0.00307932841748974
"LAP3",1.81558536871045e-06,0.285973956916157,0.313,0.218,0.0318126868305444
"GREM1",2.33382685211009e-06,0.288315317855528,0.173,0.087,0.0408933141026731
